onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
p	iː	m				CVC		piːm
p	iː	ŋ				CVC		piːŋ
p	uː	m				CVC		puːm
p	uː	ŋ				CVC		puːŋ
p	uː	t				CVC		puːt
p	uː	k				CVC		puːk
p	uː	s				CVC		puːs
p	eɪ	m				CVC		peɪm
p	eɪ	ŋ				CVC		peɪŋ
p	eɪ	k				CVC		peɪk
p	oʊ	m				CVC		poʊm
p	oʊ	ŋ				CVC		poʊŋ
p	oʊ	s				CVC		poʊs
p	ɑ	n				CVC		pɑn
p	ɑ	ŋ				CVC		pɑŋ
p	ɑ	s				CVC		pɑs
p	aɪ	m				CVC		paɪm
p	aɪ	ŋ				CVC		paɪŋ
p	aʊ	m				CVC		paʊm
p	aʊ	n				CVC		paʊn
p	aʊ	ŋ				CVC		paʊŋ
p	aʊ	t				CVC		paʊt
p	aʊ	s				CVC		paʊs
p	ɪ	m				CVC		pɪm
p	ʊ	m				CVC		pʊm
p	ʊ	n				CVC		pʊn
p	ʊ	ŋ				CVC		pʊŋ
p	ʊ	k				CVC		pʊk
p	ɛ	m				CVC		pɛm
p	ɛ	s				CVC		pɛs
t	iː	ŋ				CVC		tiːŋ
t	iː	s				CVC		tiːs
t	uː	m				CVC		tuːm
t	uː	ŋ				CVC		tuːŋ
t	uː	p				CVC		tuːp
t	uː	k				CVC		tuːk
t	uː	s				CVC		tuːs
t	eɪ	ŋ				CVC		teɪŋ
t	eɪ	p				CVC		teɪp
t	eɪ	s				CVC		teɪs
t	oʊ	ŋ				CVC		toʊŋ
t	oʊ	s				CVC		toʊs
t	ɑ	n				CVC		tɑn
t	ɑ	s				CVC		tɑs
t	aɪ	ŋ				CVC		taɪŋ
t	aʊ	m				CVC		taʊm
t	aʊ	ŋ				CVC		taʊŋ
t	aʊ	p				CVC		taʊp
t	aʊ	k				CVC		taʊk
t	aʊ	s				CVC		taʊs
t	ɪ	s				CVC		tɪs
t	ʊ	m				CVC		tʊm
t	ʊ	n				CVC		tʊn
t	ʊ	ŋ				CVC		tʊŋ
t	ʊ	s				CVC		tʊs
t	ɛ	m				CVC		tɛm
t	ɛ	ŋ				CVC		tɛŋ
t	ɛ	p				CVC		tɛp
k	iː	m				CVC		kiːm
k	iː	s				CVC		kiːs
k	uː	n				CVC		kuːn
k	uː	ŋ				CVC		kuːŋ
k	uː	s				CVC		kuːs
k	eɪ	ŋ				CVC		keɪŋ
k	oʊ	ŋ				CVC		koʊŋ
k	oʊ	p				CVC		koʊp
k	oʊ	s				CVC		koʊs
k	ɑ	ŋ				CVC		kɑŋ
k	aɪ	ŋ				CVC		kaɪŋ
k	aɪ	s				CVC		kaɪs
k	aʊ	m				CVC		kaʊm
k	aʊ	n				CVC		kaʊn
k	aʊ	ŋ				CVC		kaʊŋ
k	aʊ	p				CVC		kaʊp
k	aʊ	t				CVC		kaʊt
k	ʊ	n				CVC		kʊn
k	ʊ	p				CVC		kʊp
k	ʊ	t				CVC		kʊt
k	ʊ	s				CVC		kʊs
k	ɛ	ŋ				CVC		kɛŋ
k	ɛ	p				CVC		kɛp
k	ɛ	s				CVC		kɛs
k	æ	s				CVC		kæs
b	iː	ŋ				CVC		biːŋ
b	iː	k				CVC		biːk
b	iː	s				CVC		biːs
b	uː	m				CVC		buːm
b	uː	ŋ				CVC		buːŋ
b	uː	t				CVC		buːt
b	uː	k				CVC		buːk
b	eɪ	m				CVC		beɪm
b	eɪ	ŋ				CVC		beɪŋ
b	eɪ	p				CVC		beɪp
b	oʊ	ŋ				CVC		boʊŋ
b	oʊ	p				CVC		boʊp
b	ɑ	ŋ				CVC		bɑŋ
b	ɑ	p				CVC		bɑp
b	ɑ	k				CVC		bɑk
b	ɑ	s				CVC		bɑs
b	aɪ	m				CVC		baɪm
b	aɪ	ŋ				CVC		baɪŋ
b	aɪ	p				CVC		baɪp
b	aʊ	m				CVC		baʊm
b	aʊ	ŋ				CVC		baʊŋ
b	aʊ	p				CVC		baʊp
b	aʊ	s				CVC		baʊs
b	ɪ	m				CVC		bɪm
b	ɪ	p				CVC		bɪp
b	ɪ	k				CVC		bɪk
b	ʊ	m				CVC		bʊm
b	ʊ	n				CVC		bʊn
b	ʊ	p				CVC		bʊp
b	ɛ	m				CVC		bɛm
b	ɛ	ŋ				CVC		bɛŋ
b	ɛ	p				CVC		bɛp
d	iː	ŋ				CVC		diːŋ
d	iː	t				CVC		diːt
d	uː	ŋ				CVC		duːŋ
d	eɪ	ŋ				CVC		deɪŋ
d	eɪ	p				CVC		deɪp
d	eɪ	k				CVC		deɪk
d	oʊ	m				CVC		doʊm
d	oʊ	n				CVC		doʊn
d	oʊ	ŋ				CVC		doʊŋ
d	oʊ	p				CVC		doʊp
d	oʊ	t				CVC		doʊt
d	oʊ	k				CVC		doʊk
d	ɑ	ŋ				CVC		dɑŋ
d	ɑ	p				CVC		dɑp
d	ɑ	s				CVC		dɑs
d	aɪ	ŋ				CVC		daɪŋ
d	aɪ	p				CVC		daɪp
d	aʊ	m				CVC		daʊm
d	aʊ	ŋ				CVC		daʊŋ
d	aʊ	p				CVC		daʊp
d	aʊ	k				CVC		daʊk
d	ʊ	m				CVC		dʊm
d	ʊ	n				CVC		dʊn
d	ʊ	ŋ				CVC		dʊŋ
d	ʊ	p				CVC		dʊp
d	ʊ	t				CVC		dʊt
d	ʊ	k				CVC		dʊk
d	ʊ	s				CVC		dʊs
d	ɛ	p				CVC		dɛp
d	ɛ	s				CVC		dɛs
g	iː	m				CVC		giːm
g	iː	n				CVC		giːn
g	iː	ŋ				CVC		giːŋ
g	iː	p				CVC		giːp
g	iː	t				CVC		giːt
g	iː	k				CVC		giːk
g	iː	s				CVC		giːs
g	uː	m				CVC		guːm
g	uː	n				CVC		guːn
g	uː	ŋ				CVC		guːŋ
g	uː	p				CVC		guːp
g	uː	t				CVC		guːt
g	uː	k				CVC		guːk
g	uː	s				CVC		guːs
g	eɪ	m				CVC		geɪm
g	eɪ	n				CVC		geɪn
g	eɪ	ŋ				CVC		geɪŋ
g	eɪ	p				CVC		geɪp
g	eɪ	t				CVC		geɪt
g	eɪ	k				CVC		geɪk
g	eɪ	s				CVC		geɪs
g	oʊ	m				CVC		goʊm
g	oʊ	n				CVC		goʊn
g	oʊ	ŋ				CVC		goʊŋ
g	oʊ	p				CVC		goʊp
g	oʊ	t				CVC		goʊt
g	oʊ	k				CVC		goʊk
g	oʊ	s				CVC		goʊs
g	ɑ	m				CVC		gɑm
g	ɑ	n				CVC		gɑn
g	ɑ	ŋ				CVC		gɑŋ
g	ɑ	p				CVC		gɑp
g	ɑ	t				CVC		gɑt
g	ɑ	k				CVC		gɑk
g	ɑ	s				CVC		gɑs
g	aɪ	m				CVC		gaɪm
g	aɪ	n				CVC		gaɪn
g	aɪ	ŋ				CVC		gaɪŋ
g	aɪ	p				CVC		gaɪp
g	aɪ	t				CVC		gaɪt
g	aɪ	k				CVC		gaɪk
g	aɪ	s				CVC		gaɪs
g	aʊ	m				CVC		gaʊm
g	aʊ	n				CVC		gaʊn
g	aʊ	ŋ				CVC		gaʊŋ
g	aʊ	p				CVC		gaʊp
g	aʊ	t				CVC		gaʊt
g	aʊ	k				CVC		gaʊk
g	aʊ	s				CVC		gaʊs
g	ɪ	m				CVC		gɪm
g	ɪ	n				CVC		gɪn
g	ɪ	ŋ				CVC		gɪŋ
g	ɪ	p				CVC		gɪp
g	ɪ	t				CVC		gɪt
g	ɪ	k				CVC		gɪk
g	ɪ	s				CVC		gɪs
g	ʊ	m				CVC		gʊm
g	ʊ	n				CVC		gʊn
g	ʊ	ŋ				CVC		gʊŋ
g	ʊ	p				CVC		gʊp
