onset1	nucleus1	coda1	onset2	nucleus2	coda2	shape	syllable.contact.code	transcription
g	ʊ	t				CVC		gʊt
g	ʊ	k				CVC		gʊk
g	ʊ	s				CVC		gʊs
g	ɛ	m				CVC		gɛm
g	ɛ	n				CVC		gɛn
g	ɛ	ŋ				CVC		gɛŋ
g	ɛ	p				CVC		gɛp
g	ɛ	t				CVC		gɛt
g	ɛ	k				CVC		gɛk
g	ɛ	s				CVC		gɛs
g	æ	m				CVC		gæm
g	æ	n				CVC		gæn
g	æ	ŋ				CVC		gæŋ
g	æ	p				CVC		gæp
g	æ	t				CVC		gæt
g	æ	k				CVC		gæk
g	æ	s				CVC		gæs
m	iː	ŋ				CVC		miːŋ
m	iː	k				CVC		miːk
m	iː	s				CVC		miːs
m	uː	n				CVC		muːn
m	uː	p				CVC		muːp
m	eɪ	ŋ				CVC		meɪŋ
m	eɪ	p				CVC		meɪp
m	eɪ	s				CVC		meɪs
m	oʊ	ŋ				CVC		moʊŋ
m	oʊ	s				CVC		moʊs
m	ɑ	t				CVC		mɑt
m	ɑ	s				CVC		mɑs
m	aɪ	n				CVC		maɪn
m	aɪ	ŋ				CVC		maɪŋ
m	aɪ	p				CVC		maɪp
m	aʊ	n				CVC		maʊn
m	aʊ	ŋ				CVC		maʊŋ
m	aʊ	p				CVC		maʊp
m	aʊ	k				CVC		maʊk
m	ɪ	p				CVC		mɪp
m	ʊ	n				CVC		mʊn
m	ʊ	p				CVC		mʊp
m	ʊ	s				CVC		mʊs
m	ɛ	ŋ				CVC		mɛŋ
m	ɛ	p				CVC		mɛp
n	iː	m				CVC		niːm
n	iː	ŋ				CVC		niːŋ
n	iː	k				CVC		niːk
n	uː	m				CVC		nuːm
n	uː	ŋ				CVC		nuːŋ
n	uː	p				CVC		nuːp
n	uː	t				CVC		nuːt
n	uː	k				CVC		nuːk
n	eɪ	ŋ				CVC		neɪŋ
n	oʊ	ŋ				CVC		noʊŋ
n	oʊ	k				CVC		noʊk
n	oʊ	s				CVC		noʊs
n	ɑ	m				CVC		nɑm
n	ɑ	ŋ				CVC		nɑŋ
n	ɑ	p				CVC		nɑp
n	ɑ	s				CVC		nɑs
n	aɪ	m				CVC		naɪm
n	aɪ	ŋ				CVC		naɪŋ
n	aɪ	p				CVC		naɪp
n	aɪ	k				CVC		naɪk
n	aʊ	m				CVC		naʊm
n	aʊ	ŋ				CVC		naʊŋ
n	aʊ	p				CVC		naʊp
n	aʊ	k				CVC		naʊk
n	aʊ	s				CVC		naʊs
n	ɪ	ŋ				CVC		nɪŋ
n	ɪ	s				CVC		nɪs
n	ʊ	m				CVC		nʊm
n	ʊ	ŋ				CVC		nʊŋ
n	ʊ	p				CVC		nʊp
n	ʊ	t				CVC		nʊt
n	ʊ	s				CVC		nʊs
n	ɛ	m				CVC		nɛm
n	ɛ	ŋ				CVC		nɛŋ
n	æ	m				CVC		næm
n	æ	s				CVC		næs
s	iː	ŋ				CVC		siːŋ
s	uː	m				CVC		suːm
s	uː	n				CVC		suːn
s	uː	ŋ				CVC		suːŋ
s	uː	p				CVC		suːp
s	eɪ	ŋ				CVC		seɪŋ
s	eɪ	p				CVC		seɪp
s	oʊ	m				CVC		soʊm
s	oʊ	ŋ				CVC		soʊŋ
s	oʊ	t				CVC		soʊt
s	ɑ	n				CVC		sɑn
s	ɑ	p				CVC		sɑp
s	ɑ	t				CVC		sɑt
s	aɪ	m				CVC		saɪm
s	aɪ	ŋ				CVC		saɪŋ
s	aʊ	m				CVC		saʊm
s	aʊ	n				CVC		saʊn
s	aʊ	ŋ				CVC		saʊŋ
s	aʊ	p				CVC		saʊp
s	aʊ	k				CVC		saʊk
s	ʊ	m				CVC		sʊm
s	ʊ	n				CVC		sʊn
s	ʊ	ŋ				CVC		sʊŋ
s	ʊ	p				CVC		sʊp
s	ɛ	ŋ				CVC		sɛŋ
s	æ	n				CVC		sæn
sp	iː	m				sCVC		spiːm
sp	iː	ŋ				sCVC		spiːŋ
sp	iː	t				sCVC		spiːt
sp	iː	k				sCVC		spiːk
sp	uː	m				sCVC		spuːm
sp	uː	n				sCVC		spuːn
sp	uː	ŋ				sCVC		spuːŋ
sp	uː	t				sCVC		spuːt
sp	eɪ	m				sCVC		speɪm
sp	eɪ	ŋ				sCVC		speɪŋ
sp	oʊ	m				sCVC		spoʊm
sp	oʊ	n				sCVC		spoʊn
sp	oʊ	ŋ				sCVC		spoʊŋ
sp	oʊ	t				sCVC		spoʊt
sp	oʊ	k				sCVC		spoʊk
sp	ɑ	m				sCVC		spɑm
sp	ɑ	n				sCVC		spɑn
sp	ɑ	ŋ				sCVC		spɑŋ
sp	ɑ	k				sCVC		spɑk
sp	aɪ	ŋ				sCVC		spaɪŋ
sp	aʊ	m				sCVC		spaʊm
sp	aʊ	n				sCVC		spaʊn
sp	aʊ	ŋ				sCVC		spaʊŋ
sp	aʊ	k				sCVC		spaʊk
sp	ɪ	ŋ				sCVC		spɪŋ
sp	ʊ	m				sCVC		spʊm
sp	ʊ	n				sCVC		spʊn
sp	ʊ	ŋ				sCVC		spʊŋ
sp	ʊ	t				sCVC		spʊt
sp	ʊ	k				sCVC		spʊk
sp	ɛ	m				sCVC		spɛm
sp	ɛ	n				sCVC		spɛn
sp	ɛ	ŋ				sCVC		spɛŋ
st	iː	m				sCVC		stiːm
st	iː	ŋ				sCVC		stiːŋ
st	uː	m				sCVC		stuːm
st	uː	n				sCVC		stuːn
st	uː	ŋ				sCVC		stuːŋ
st	uː	k				sCVC		stuːk
st	eɪ	m				sCVC		steɪm
st	eɪ	ŋ				sCVC		steɪŋ
st	eɪ	p				sCVC		steɪp
st	oʊ	m				sCVC		stoʊm
st	oʊ	ŋ				sCVC		stoʊŋ
st	oʊ	p				sCVC		stoʊp
st	ɑ	m				sCVC		stɑm
st	ɑ	n				sCVC		stɑn
st	ɑ	ŋ				sCVC		stɑŋ
st	aɪ	ŋ				sCVC		staɪŋ
st	aɪ	k				sCVC		staɪk
st	aʊ	m				sCVC		staʊm
st	aʊ	n				sCVC		staʊn
st	aʊ	ŋ				sCVC		staʊŋ
st	aʊ	p				sCVC		staʊp
st	aʊ	k				sCVC		staʊk
st	ɪ	m				sCVC		stɪm
st	ɪ	n				sCVC		stɪn
st	ʊ	m				sCVC		stʊm
st	ʊ	n				sCVC		stʊn
st	ʊ	ŋ				sCVC		stʊŋ
st	ʊ	p				sCVC		stʊp
st	ɛ	n				sCVC		stɛn
st	ɛ	ŋ				sCVC		stɛŋ
sk	iː	ŋ				sCVC		skiːŋ
sk	iː	p				sCVC		skiːp
sk	uː	m				sCVC		skuːm
sk	uː	ŋ				sCVC		skuːŋ
sk	eɪ	m				sCVC		skeɪm
sk	eɪ	ŋ				sCVC		skeɪŋ
sk	eɪ	p				sCVC		skeɪp
sk	oʊ	m				sCVC		skoʊm
sk	oʊ	ŋ				sCVC		skoʊŋ
sk	oʊ	t				sCVC		skoʊt
sk	ɑ	m				sCVC		skɑm
sk	ɑ	ŋ				sCVC		skɑŋ
sk	ɑ	p				sCVC		skɑp
sk	aɪ	m				sCVC		skaɪm
sk	aɪ	n				sCVC		skaɪn
sk	aɪ	ŋ				sCVC		skaɪŋ
sk	aʊ	m				sCVC		skaʊm
sk	aʊ	n				sCVC		skaʊn
sk	aʊ	ŋ				sCVC		skaʊŋ
sk	aʊ	p				sCVC		skaʊp
sk	ɪ	ŋ				sCVC		skɪŋ
sk	ɪ	t				sCVC		skɪt
sk	ʊ	m				sCVC		skʊm
sk	ʊ	n				sCVC		skʊn
sk	ʊ	ŋ				sCVC		skʊŋ
sk	ʊ	p				sCVC		skʊp
sk	ʊ	t				sCVC		skʊt
sk	ɛ	m				sCVC		skɛm
sk	ɛ	ŋ				sCVC		skɛŋ
sk	ɛ	t				sCVC		skɛt
sk	æ	ŋ				sCVC		skæŋ
pw	ɪ	m				CwVC		pwɪm
pw	ɪ	n				CwVC		pwɪn
pw	ɪ	ŋ				CwVC		pwɪŋ
pw	ɪ	t				CwVC		pwɪt
pw	ɪ	k				CwVC		pwɪk
pw	ɪ	s				CwVC		pwɪs
pw	ʊ	m				CwVC		pwʊm
pw	ʊ	n				CwVC		pwʊn
pw	ʊ	ŋ				CwVC		pwʊŋ
pw	ʊ	t				CwVC		pwʊt
pw	ʊ	k				CwVC		pwʊk
pw	ʊ	s				CwVC		pwʊs
pw	ɛ	m				CwVC		pwɛm
pw	ɛ	n				CwVC		pwɛn
pw	ɛ	ŋ				CwVC		pwɛŋ
pw	ɛ	t				CwVC		pwɛt
pw	ɛ	k				CwVC		pwɛk
pw	ɛ	s				CwVC		pwɛs
pw	æ	m				CwVC		pwæm
pw	æ	n				CwVC		pwæn
pw	æ	ŋ				CwVC		pwæŋ
pw	æ	t				CwVC		pwæt
pw	æ	k				CwVC		pwæk
pw	æ	s				CwVC		pwæs
tw	ɪ	m				CwVC		twɪm
tw	ɪ	ŋ				CwVC		twɪŋ
tw	ɪ	p				CwVC		twɪp
tw	ɪ	k				CwVC		twɪk
tw	ɪ	s				CwVC		twɪs
tw	ʊ	m				CwVC		twʊm
tw	ʊ	n				CwVC		twʊn
tw	ʊ	ŋ				CwVC		twʊŋ
tw	ʊ	p				CwVC		twʊp
tw	ʊ	k				CwVC		twʊk
tw	ʊ	s				CwVC		twʊs
tw	ɛ	m				CwVC		twɛm
tw	ɛ	n				CwVC		twɛn
tw	ɛ	ŋ				CwVC		twɛŋ
tw	ɛ	p				CwVC		twɛp
tw	ɛ	k				CwVC		twɛk
tw	ɛ	s				CwVC		twɛs
tw	æ	m				CwVC		twæm
tw	æ	n				CwVC		twæn
tw	æ	p				CwVC		twæp
tw	æ	k				CwVC		twæk
tw	æ	s				CwVC		twæs
kw	ɪ	ŋ				CwVC		kwɪŋ
kw	ʊ	m				CwVC		kwʊm
kw	ʊ	n				CwVC		kwʊn
kw	ʊ	ŋ				CwVC		kwʊŋ
kw	ʊ	p				CwVC		kwʊp
kw	ʊ	t				CwVC		kwʊt
kw	ʊ	s				CwVC		kwʊs
kw	ɛ	m				CwVC		kwɛm
kw	ɛ	n				CwVC		kwɛn
kw	ɛ	ŋ				CwVC		kwɛŋ
kw	ɛ	p				CwVC		kwɛp
kw	ɛ	t				CwVC		kwɛt
kw	ɛ	s				CwVC		kwɛs
kw	æ	n				CwVC		kwæn
kw	æ	ŋ				CwVC		kwæŋ
kw	æ	p				CwVC		kwæp
kw	æ	t				CwVC		kwæt
kw	æ	s				CwVC		kwæs
bw	ɪ	m				CwVC		bwɪm
bw	ɪ	n				CwVC		bwɪn
bw	ɪ	ŋ				CwVC		bwɪŋ
bw	ɪ	p				CwVC		bwɪp
bw	ɪ	t				CwVC		bwɪt
bw	ɪ	k				CwVC		bwɪk
bw	ɪ	s				CwVC		bwɪs
bw	ʊ	m				CwVC		bwʊm
bw	ʊ	n				CwVC		bwʊn
bw	ʊ	ŋ				CwVC		bwʊŋ
bw	ʊ	p				CwVC		bwʊp
bw	ʊ	t				CwVC		bwʊt
bw	ʊ	k				CwVC		bwʊk
bw	ʊ	s				CwVC		bwʊs
bw	ɛ	m				CwVC		bwɛm
bw	ɛ	n				CwVC		bwɛn
bw	ɛ	ŋ				CwVC		bwɛŋ
bw	ɛ	p				CwVC		bwɛp
bw	ɛ	t				CwVC		bwɛt
bw	ɛ	k				CwVC		bwɛk
bw	ɛ	s				CwVC		bwɛs
bw	æ	m				CwVC		bwæm
bw	æ	n				CwVC		bwæn
bw	æ	ŋ				CwVC		bwæŋ
bw	æ	p				CwVC		bwæp
bw	æ	t				CwVC		bwæt
bw	æ	k				CwVC		bwæk
bw	æ	s				CwVC		bwæs
dw	ɪ	m				CwVC		dwɪm
dw	ɪ	n				CwVC		dwɪn
dw	ɪ	ŋ				CwVC		dwɪŋ
dw	ɪ	p				CwVC		dwɪp
dw	ɪ	t				CwVC		dwɪt
dw	ɪ	k				CwVC		dwɪk
dw	ɪ	s				CwVC		dwɪs
dw	ʊ	m				CwVC		dwʊm
dw	ʊ	n				CwVC		dwʊn
dw	ʊ	ŋ				CwVC		dwʊŋ
dw	ʊ	p				CwVC		dwʊp
dw	ʊ	t				CwVC		dwʊt
dw	ʊ	k				CwVC		dwʊk
dw	ʊ	s				CwVC		dwʊs
dw	ɛ	m				CwVC		dwɛm
dw	ɛ	n				CwVC		dwɛn
dw	ɛ	ŋ				CwVC		dwɛŋ
dw	ɛ	p				CwVC		dwɛp
dw	ɛ	t				CwVC		dwɛt
dw	ɛ	k				CwVC		dwɛk
dw	ɛ	s				CwVC		dwɛs
dw	æ	m				CwVC		dwæm
dw	æ	n				CwVC		dwæn
dw	æ	p				CwVC		dwæp
dw	æ	t				CwVC		dwæt
dw	æ	k				CwVC		dwæk
dw	æ	s				CwVC		dwæs
gw	ɪ	m				CwVC		gwɪm
gw	ɪ	n				CwVC		gwɪn
gw	ɪ	ŋ				CwVC		gwɪŋ
gw	ɪ	p				CwVC		gwɪp
gw	ɪ	t				CwVC		gwɪt
gw	ɪ	k				CwVC		gwɪk
gw	ɪ	s				CwVC		gwɪs
gw	ʊ	m				CwVC		gwʊm
gw	ʊ	n				CwVC		gwʊn
gw	ʊ	ŋ				CwVC		gwʊŋ
gw	ʊ	p				CwVC		gwʊp
gw	ʊ	t				CwVC		gwʊt
gw	ʊ	k				CwVC		gwʊk
gw	ʊ	s				CwVC		gwʊs
gw	ɛ	m				CwVC		gwɛm
gw	ɛ	n				CwVC		gwɛn
gw	ɛ	ŋ				CwVC		gwɛŋ
gw	ɛ	p				CwVC		gwɛp
gw	ɛ	t				CwVC		gwɛt
gw	ɛ	k				CwVC		gwɛk
gw	ɛ	s				CwVC		gwɛs
gw	æ	m				CwVC		gwæm
gw	æ	n				CwVC		gwæn
gw	æ	ŋ				CwVC		gwæŋ
gw	æ	p				CwVC		gwæp
gw	æ	t				CwVC		gwæt
gw	æ	k				CwVC		gwæk
gw	æ	s				CwVC		gwæs
tl	iː	m				TlVC		tliːm
tɹ	iː	m				TɹVC		tɹiːm
tl	iː	n				TlVC		tliːn
tl	iː	ŋ				TlVC		tliːŋ
tɹ	iː	ŋ				TɹVC		tɹiːŋ
tl	iː	p				TlVC		tliːp
tɹ	iː	p				TɹVC		tɹiːp
tl	iː	k				TlVC		tliːk
tɹ	iː	k				TɹVC		tɹiːk
tl	iː	s				TlVC		tliːs
tɹ	iː	s				TɹVC		tɹiːs
tl	uː	m				TlVC		tluːm
tɹ	uː	m				TɹVC		tɹuːm
tl	uː	n				TlVC		tluːn
tɹ	uː	n				TɹVC		tɹuːn
tl	uː	ŋ				TlVC		tluːŋ
tɹ	uː	ŋ				TɹVC		tɹuːŋ
tl	uː	p				TlVC		tluːp
tl	uː	k				TlVC		tluːk
tl	uː	s				TlVC		tluːs
tɹ	uː	s				TɹVC		tɹuːs
tl	eɪ	m				TlVC		tleɪm
tɹ	eɪ	m				TɹVC		tɹeɪm
tl	eɪ	n				TlVC		tleɪn
tl	eɪ	ŋ				TlVC		tleɪŋ
tɹ	eɪ	ŋ				TɹVC		tɹeɪŋ
tl	eɪ	p				TlVC		tleɪp
tl	eɪ	k				TlVC		tleɪk
tɹ	eɪ	k				TɹVC		tɹeɪk
tl	eɪ	s				TlVC		tleɪs
tl	oʊ	m				TlVC		tloʊm
tɹ	oʊ	m				TɹVC		tɹoʊm
tl	oʊ	n				TlVC		tloʊn
tɹ	oʊ	n				TɹVC		tɹoʊn
tl	oʊ	ŋ				TlVC		tloʊŋ
tɹ	oʊ	ŋ				TɹVC		tɹoʊŋ
tl	oʊ	p				TlVC		tloʊp
tl	oʊ	k				TlVC		tloʊk
tl	oʊ	s				TlVC		tloʊs
tɹ	oʊ	s				TɹVC		tɹoʊs
tl	ɑ	m				TlVC		tlɑm
tɹ	ɑ	m				TɹVC		tɹɑm
tl	ɑ	n				TlVC		tlɑn
tɹ	ɑ	n				TɹVC		tɹɑn
tl	ɑ	ŋ				TlVC		tlɑŋ
tɹ	ɑ	ŋ				TɹVC		tɹɑŋ
tl	ɑ	p				TlVC		tlɑp
tɹ	ɑ	p				TɹVC		tɹɑp
tl	ɑ	k				TlVC		tlɑk
tɹ	ɑ	k				TɹVC		tɹɑk
tl	ɑ	s				TlVC		tlɑs
tɹ	ɑ	s				TɹVC		tɹɑs
tl	aɪ	m				TlVC		tlaɪm
tɹ	aɪ	m				TɹVC		tɹaɪm
tl	aɪ	n				TlVC		tlaɪn
tɹ	aɪ	n				TɹVC		tɹaɪn
tl	aɪ	ŋ				TlVC		tlaɪŋ
tɹ	aɪ	ŋ				TɹVC		tɹaɪŋ
tl	aɪ	p				TlVC		tlaɪp
tl	aɪ	k				TlVC		tlaɪk
tl	aɪ	s				TlVC		tlaɪs
tl	aʊ	m				TlVC		tlaʊm
tɹ	aʊ	m				TɹVC		tɹaʊm
tl	aʊ	n				TlVC		tlaʊn
tɹ	aʊ	n				TɹVC		tɹaʊn
tl	aʊ	ŋ				TlVC		tlaʊŋ
tɹ	aʊ	ŋ				TɹVC		tɹaʊŋ
tl	aʊ	p				TlVC		tlaʊp
tɹ	aʊ	p				TɹVC		tɹaʊp
tl	aʊ	k				TlVC		tlaʊk
tɹ	aʊ	k				TɹVC		tɹaʊk
tl	aʊ	s				TlVC		tlaʊs
tɹ	aʊ	s				TɹVC		tɹaʊs
tl	ɪ	m				TlVC		tlɪm
tl	ɪ	n				TlVC		tlɪn
tɹ	ɪ	n				TɹVC		tɹɪn
tl	ɪ	ŋ				TlVC		tlɪŋ
tl	ɪ	p				TlVC		tlɪp
tl	ɪ	k				TlVC		tlɪk
tl	ɪ	s				TlVC		tlɪs
tl	ʊ	m				TlVC		tlʊm
tɹ	ʊ	m				TɹVC		tɹʊm
tl	ʊ	n				TlVC		tlʊn
tɹ	ʊ	n				TɹVC		tɹʊn
tl	ʊ	ŋ				TlVC		tlʊŋ
tɹ	ʊ	ŋ				TɹVC		tɹʊŋ
tl	ʊ	p				TlVC		tlʊp
tɹ	ʊ	p				TɹVC		tɹʊp
tl	ʊ	k				TlVC		tlʊk
tɹ	ʊ	k				TɹVC		tɹʊk
tl	ʊ	s				TlVC		tlʊs
tɹ	ʊ	s				TɹVC		tɹʊs
tl	ɛ	m				TlVC		tlɛm
tɹ	ɛ	m				TɹVC		tɹɛm
tl	ɛ	n				TlVC		tlɛn
tl	ɛ	ŋ				TlVC		tlɛŋ
tɹ	ɛ	ŋ				TɹVC		tɹɛŋ
tl	ɛ	p				TlVC		tlɛp
tɹ	ɛ	p				TɹVC		tɹɛp
tl	ɛ	k				TlVC		tlɛk
tl	ɛ	s				TlVC		tlɛs
tl	æ	m				TlVC		tlæm
tl	æ	n				TlVC		tlæn
tl	æ	ŋ				TlVC		tlæŋ
tɹ	æ	ŋ				TɹVC		tɹæŋ
tl	æ	p				TlVC		tlæp
tl	æ	k				TlVC		tlæk
tl	æ	s				TlVC		tlæs
dl	iː	m				TlVC		dliːm
dl	iː	n				TlVC		dliːn
dɹ	iː	n				TɹVC		dɹiːn
dl	iː	ŋ				TlVC		dliːŋ
dɹ	iː	ŋ				TɹVC		dɹiːŋ
dl	iː	p				TlVC		dliːp
dɹ	iː	p				TɹVC		dɹiːp
dl	iː	t				TlVC		dliːt
dɹ	iː	t				TɹVC		dɹiːt
dl	iː	k				TlVC		dliːk
dɹ	iː	k				TɹVC		dɹiːk
dl	iː	s				TlVC		dliːs
dɹ	iː	s				TɹVC		dɹiːs
dl	uː	m				TlVC		dluːm
dɹ	uː	m				TɹVC		dɹuːm
dl	uː	n				TlVC		dluːn
dɹ	uː	n				TɹVC		dɹuːn
dl	uː	ŋ				TlVC		dluːŋ
dɹ	uː	ŋ				TɹVC		dɹuːŋ
dl	uː	p				TlVC		dluːp
dl	uː	t				TlVC		dluːt
dɹ	uː	t				TɹVC		dɹuːt
dl	uː	k				TlVC		dluːk
dɹ	uː	k				TɹVC		dɹuːk
dl	uː	s				TlVC		dluːs
dɹ	uː	s				TɹVC		dɹuːs
dl	eɪ	m				TlVC		dleɪm
dɹ	eɪ	m				TɹVC		dɹeɪm
